codigo,fruto,nivel_emocional,descricao_estado_da_alma,diagnostico_emocional,exemplo_vida_familiar,exemplo_vida_social,exemplo_vida_profissional,exercicio_de_elevacao
CO11,Compulsão Manifesta,"🔥 Compulsão Manifesta (você perde o controle com frequência, e isso afeta sua rotina ou relações)","Você está dominado por impulsos fortes e repetitivos, com perda de controle.",Compulsão manifesta e entregas desgovernadas.,Promessas quebradas constantemente.,Descontrole em ambientes sociais.,"Inconstância, atrasos, esquecimentos frequentes.","Técnica do diário de impulsos: anotar o impulso, o contexto e o que poderia ter feito diferente."
CO10,Vício Funcional,"🌀 Vício Funcional (há vícios que não causam grandes danos aparentes, mas que desequilibram silenciosamente)","Você mantém vícios que parecem funcionais, mas ocultam desequilíbrios profundos.",Dependência disfarçada de produtividade.,"Presente, mas emocionalmente instável.",Usa prazeres como fuga emocional.,Alta performance acompanhada de esgotamento.,"Anotar um hábito disfarçado de saudável que está, na verdade, te prejudicando."
CO09,Falta de Freios,🎯 Falta de Freios (você percebe que não consegue parar alguns comportamentos ou hábitos),Você age sem freios. A busca pelo prazer imediato supera qualquer racionalidade.,Impulsividade crônica e ausência de contenção.,Excessos que ferem emocionalmente os outros.,Gastos ou comportamentos irresponsáveis.,Falta de foco e constância.,Respiração 5-2-5 antes de toda decisão importante.
CO08,Indulgência Regular,"🍩 Indulgência Regular (há indulgência recorrente, com pequenas culpas ou tentativas de compensação)","Você busca se controlar, mas ainda se entrega com frequência aos seus desejos.",Oscilação entre indulgência e tentativa de controle.,"Pede desculpas, mas repete comportamentos.",Faz concessões que se arrependem depois.,Dificuldade em manter uma disciplina consistente.,Exercício da consciência pós-ato: refletir como se sentiu após cada concessão feita.
CO07,Concessões Ocasionais,"🎈 Concessões Ocasionais (você se permite sair do eixo às vezes, mas sem grandes impactos)","Você se permite algumas concessões, mas com algum nível de consciência.",Começo de domínio interno sobre os impulsos.,Busca conversar mais sobre suas fragilidades.,Participa de situações com mais autocontrole.,Já evita gatilhos que antes causavam queda de desempenho.,Registrar 1 conquista por dia em que venceu um impulso destrutivo.
CO06,Neutralidade,😐 Neutralidade (você não sente forte impulso nem excesso de contenção — há estabilidade geral),"Você está em uma fase de neutralidade, ainda sem excesso nem virtude.",Zona de equilíbrio instável e de aprendizado.,"Presente e estável, mas sem grandes progressos.","Participações moderadas, sem vícios marcantes.",Disciplina funcional com pequenas oscilações.,Estabelecer um microdesafio de autocontrole diário (ex: 2h sem celular).
CO05,Autocontrole Habitual,⚖️ Autocontrole Habitual (você tem controle consistente sobre vícios e excessos no cotidiano),Você desenvolve práticas de autocontrole com frequência e responsabilidade.,Autodisciplina em crescimento.,Cria rotinas saudáveis com os entes queridos.,Gere limites com leveza e firmeza.,Organiza sua rotina com consciência.,Planejar 1 ação por semana com intenção de fortalecer a vontade espiritual.
CO04,Moderação Sábia,"🌱 Moderação Sábia (você faz escolhas conscientes, mesmo diante de tentações ou repetições)","Você cultiva a moderação com sabedoria, sem repressão, mas com firmeza.",Autodomínio orientado por valores profundos.,Exemplo de sobriedade e temperança.,Firmeza gentil nas escolhas.,Consistência e foco como virtudes presentes.,Jejum consciente de algo que distraia sua alma por 1 dia da semana.
CO03,Autodomínio Virtuoso,"🏞️ Autodomínio Virtuoso (você controla seus impulsos sem rigidez, com equilíbrio e sabedoria)",Você possui domínio de si mesmo e conduz sua vida com espírito virtuoso.,Consciência plena sobre seus limites e necessidades.,Inspira equilíbrio sem esforço.,Encaminha outros a decisões mais elevadas.,É referência em moderação e sabedoria.,Mentorear alguém mais jovem ou impulsivo com amor e exemplo prático.
CO02,Ascetismo Sagrado,"🧘 Ascetismo Sagrado (você vive com autocontrole profundo, canalizando desejos para propósitos elevados)",Você transcende o desejo. Vive em estado de ascetismo espiritual equilibrado.,Renúncia voluntária ao supérfluo em nome da verdade.,Escolhas que preservam o essencial.,Influência silenciosa e firme.,Simplicidade que revela grandeza.,Reflexão escrita: 'Do que mais preciso abrir mão para ser livre?'
CO01,Continencia sagrada,"🧘 Continência Sagrada (você vive com autocontrole profundo, canalizando desejos para propósitos elevados)","você vive com autocontrole profundo, canalizando desejos para propósitos elevados",Renúncia voluntária ao supérfluo em nome da verdade.,Escolhas que preservam o essencial.,Influência silenciosa e firme.,Simplicidade que revela grandeza.,Reflexão escrita: 'Do que mais preciso abrir mão para ser livre?'
FI12,Traição Ideológica,"💣 Traição Ideológica (você abandona valores, pessoas ou missões em que dizia acreditar profundamente)","Você renega os princípios que dizia defender, mudando conforme interesses.",Desalinhamento com valores internos e falsidade ideológica.,Contradições entre discurso e prática com os entes próximos.,Alianças quebradas sem explicações.,Mudança de ética conforme conveniência.,Reescrever seus 5 valores essenciais e avaliar sua coerência com eles.
FI11,Perfídia,"😈 Perfídia (você quebra a confiança deliberadamente, mesmo sabendo o impacto)",Você rompe compromissos importantes sem arrependimento ou justificativa honesta.,Perfídia: traição ativa de confiança íntima.,Abandono de responsabilidades com frieza.,Traição de amizades profundas.,Deslealdade contratual ou institucional.,Carta simbólica de pedido de perdão para alguém que você falhou — mesmo que não entregue.
FI10,Traição Calculada,"🧠 Traição Calculada (você age de forma a esconder ou manipular, mesmo de forma consciente)",Você rompe laços de maneira estratégica. Usa o compromisso como moeda de troca.,Fidelidade como meio e não como valor.,Promessas quebradas em momentos decisivos.,"Relacionamentos por conveniência, sem lealdade real.",Toma decisões que traem alianças por vantagem.,Meditação: visualizar alguém que confiou em você e sentir o impacto da quebra de palavra.
FI09,Deslealdade Ativa,⚖️ Deslealdade Ativa (você rompe acordos e valores por impulso ou ressentimento),Você não sustenta suas alianças e foge das consequências dos compromissos.,Conduta desleal com ações intencionais.,"Fala uma coisa, faz outra com frequência.","Finge apoiar, mas sabota silenciosamente.",Insubordinação oculta e sabotagem sutil.,Prática do compromisso: cumprir rigorosamente 1 pequena promessa por dia.
FI08,Infidelidade Passiva,"💔 Infidelidade Passiva (você não rompe, mas deixa de nutrir ou sustentar vínculos com verdade)","Você não trai ativamente, mas deixa de cumprir promessas. A ausência pesa mais que ações.",Infidelidade por omissão e descuido.,Ausência em momentos cruciais.,Promete presença e falha repetidamente.,"Compromissos assumidos, mas não cumpridos.",Anotar compromissos feitos e revisá-los antes de dormir por 7 dias.
FI07,Omissão Culpável,🙈 Omissão Culpável (você evita se comprometer ou omite a verdade por medo ou conveniência),Você evita se comprometer. Sua omissão gera ruptura silenciosa.,Negligência relacional e espiritual.,Finge não ver a necessidade dos outros.,Evita responsabilidades compartilhadas.,Se omite diante de conflitos ou injustiças.,Escolher um vínculo negligenciado e dar a ele 15 minutos de presença verdadeira.
FI06,Ambivalência,"🌫️ Ambivalência (você oscila entre a presença e a dúvida, entre o vínculo e o distanciamento)",Você oscila entre estar presente e ausente. Sua fidelidade é incerta.,Insegurança emocional com instabilidade de entrega.,"Um dia amoroso, no outro distante.","Promete, mas desiste no meio do caminho.",Falta consistência nos vínculos e promessas.,Criar uma lista de 'pessoas-farol': quem você deseja ser constante.
FI05,Neutralidade Leal,"😐 Neutralidade Leal (você se mantém presente, mas sem grande envolvimento ou entusiasmo)","Você não trai, mas também não se entrega profundamente. Cumpre o papel, mas sem alma.","Lealdade funcional, sem paixão nem inspiração.","Presença mecânica, sem vínculos profundos.",Amizades protocolares e seguras.,"Faz o mínimo esperado, sem comprometimento real.",Oferecer um gesto espontâneo e inesperado a alguém que sempre esteve com você.
FI04,Fidelidade por Hábito,🔁 Fidelidade por Hábito (você cumpre o que promete por rotina ou senso de obrigação),"Você age por hábito. Sua fidelidade vem da rotina, não da consciência plena.",Constância sem presença plena.,Rituais familiares sem emoção.,"Cumpre datas, mas sem envolvimento.","Está presente, mas não transforma.",Escolher um ritual habitual e colocar intenção amorosa ao realizá-lo.
FI03,Lealdade Racional,"🛡️ Lealdade Racional (você escolhe permanecer por convicção ética, mesmo quando não sente)",Você é leal por escolha racional. Seu compromisso vem da lucidez e da ética.,Fidelidade ética com maturidade.,Sustenta vínculos mesmo em tempos difíceis.,Está presente nos momentos-chave.,É confiável e inspira confiança.,Escrever uma carta de gratidão para alguém que te inspirou lealdade.
FI02,Fidelidade Virtuosa,"💠 Fidelidade Virtuosa (sua palavra é firme, seus vínculos são sólidos e sua lealdade é ativa)","Você é fiel de forma íntegra. Sua alma honra o que promete, com afeto e verdade.",Entrega espiritual por amor ao compromisso.,Refúgio e fortaleza dos que ama.,Presença sólida nos laços mais profundos.,Comprometido com missão e pessoas.,Meditação: 'Em que áreas minha alma quer ser mais fiel?'
FI01,Devoção Absoluta,"🔥 Devoção Absoluta (você permanece fiel em pensamento, palavra e ação, mesmo no silêncio ou na ausência)",Sua fidelidade é devoção. Você se torna expressão de aliança sagrada.,Consagração da alma a um princípio ou missão de vida.,"Amor absoluto, mesmo diante da dor.",Entrega total àqueles que confiam em você.,É exemplo de dedicação com propósito.,Oferecer um ato de serviço ao que representa seu maior valor.
FI00,Egoísmo Patológico,🔒 Egoísmo Patológico (você não suporta esperar nem compartilhar — vive fechado em si mesmo),"Você vive em função dos próprios desejos, sem considerar os outros. Há fechamento e dureza.",Egocentrismo intenso com desprezo empático.,Demandas excessivas sem considerar as necessidades alheias.,Relacionamentos unilaterais e dominadores.,Busca por status ou vantagem sem ética.,Ato consciente de empatia: escutar alguém por 15 minutos sem interromper ou julgar.
LO02,Egocentrismo,🧱 Egocentrismo (você sente que sua jornada é mais importante que a dos outros e se fecha nisso),Você é o centro da própria história. Existe pouco ou nenhum espaço para o outro.,Incapacidade de considerar a perspectiva alheia.,Exigências constantes de atenção ou obediência.,"Monopoliza conversas, invalida sentimentos.",Desconsidera opiniões e experiências da equipe.,Exercício do espelho: listar 3 qualidades de alguém que você costuma criticar.
LO03,Indiferença Ativa,🧊 Indiferença Ativa (você ignora com frieza quem não corresponde ou não evolui como você quer),"Você não apenas se ausenta emocionalmente, mas ativamente rejeita as emoções do outro.",Negação ativa do vínculo emocional.,Ignora sentimentos dos filhos ou cônjuge.,Sarcasmo ou frieza como resposta à dor.,Desinteresse completo por bem-estar coletivo.,Contato visual intencional e escuta ativa com alguém próximo.
LO04,Paciência Egoísta,"🪞 Paciência Egoísta (você espera que o outro mude por si mesmo, sem se implicar verdadeiramente)","Você até espera, mas apenas por interesse próprio. Sua paciência é utilitária.",Tolerância baseada em conveniência.,"Aparenta calma, mas por necessidade de controle.",Condescendência disfarçada de empatia.,Finge escutar para manter imagem positiva.,Autoanálise escrita: diferenciar altruísmo de conveniência em suas atitudes.
LO05,Condescendência,"🎭 Condescendência (você aceita o outro, mas com superioridade ou impaciência velada)",Você tolera o outro de cima para baixo. Sua superioridade mina o vínculo.,Soberba disfarçada de paciência.,"Frases como 'te entendo, mas você está errado'.",Postura de julgamento disfarçado de ajuda.,Apoia com arrogância velada.,Prática de humildade ativa: perguntar ao outro como ele se sente com suas atitudes.
LO06,Tolerância Calculista,"⏳ Tolerância Calculista (você suporta por conveniência ou obrigação, não por compaixão)",Sua tolerância tem cálculo. Você mede o que vale a pena suportar e o que não.,Interesse prático orienta sua paciência.,Ajuda ou espera por retorno garantido.,Mantém vínculos por benefício.,Suporta projetos apenas se for reconhecido.,"Praticar um gesto de bondade em segredo, sem retorno ou divulgação."
LO07,Neutralidade Relacional,"😐 Neutralidade Relacional (você mantém convívio, mas sem profunda entrega ou investimento)","Você não julga, mas também não se entrega. Sua relação é neutra e limitada.",Relacionamento sem entrega ou implicação emocional.,Convívio morno e protocolar.,"Cordiais, mas frias interações.",Colaboração sem vínculo afetivo.,Pequena carta sincera para alguém com quem deseja se reaproximar.
LO08,Compreensão Empática,🤝 Compreensão Empática (você busca enxergar além das atitudes e acolher a dor alheia),"Você compreende a dor do outro, mesmo que não possa resolvê-la.",Empatia em amadurecimento.,Escuta ativa e acolhimento respeitoso.,Oferece presença e apoio sincero.,Dá espaço e tempo para o crescimento dos outros.,Respiração com foco no coração + pensamento de cura para alguém próximo.
LO09,Paciência Ativa,"🌾 Paciência Ativa (você continua presente com firmeza, mesmo diante de desgastes ou demoras)",Você espera com amor. Suporta o tempo do outro com presença ativa.,Tolerância com base no respeito ao processo do outro.,Ajuda sem pressa e sem cobranças.,Espera genuína pelas mudanças dos amigos.,Permite aprendizado com erros e acertos.,Rezar ou meditar com o nome de uma pessoa que você quer fortalecer espiritualmente.
LO10,Tolerância Virtuosa,🌿 Tolerância Virtuosa (você compreende os processos do outro sem exigir seu tempo ou evolução),"Você tolera não por obrigação, mas por compreensão profunda do processo do outro.",Tolerância como virtude ativa e consciente.,Perseverança silenciosa com quem ama.,Apoio constante mesmo na ausência de reciprocidade.,Promove ambientes de aprendizado coletivo.,Revisar seu dia buscando onde você tolerou e onde não tolerou — e por quê.
LO11,Indulgência Sagrada,🌠 Indulgência Sagrada (você é paciente com os outros mesmo quando não compreendem ou retribuem),Você oferece indulgência. A alma compreende além das falhas.,Paciência iluminada pela compaixão profunda.,Transforma conflitos em reconciliações.,Irradia paz em meio à discórdia.,Ajuda a reerguer sem cobrar dívida emocional.,Silêncio de 10 minutos em oração por quem mais te irrita no dia.
LO12,Longanimidade Divina,"🌌 Longanimidade Divina (você suporta longas provações com fé, compaixão e esperança constante)",Sua alma suporta com ternura o peso do mundo. É presença constante e sagrada.,Longanimidade espiritual a serviço da luz.,Torna-se pilar e consolo da casa.,Referência de amor firme e discreto.,Inspira confiança e continuidade a longo prazo.,"Oferecer sua força a alguém com fragilidade — sem palavras, só presença."
MO12,Delírio de Onipotência,"🚨 Delírio de Onipotência (você se coloca acima de tudo e todos, acreditando ter razão em tudo)","Você se vê como superior aos demais, com sensação de poder absoluto.",Desconexão com a realidade e com a igualdade espiritual.,Impõe decisões com autoritarismo.,Despreza opiniões e sentimentos alheios.,Centraliza poder e exige obediência cega.,Refletir: 'O que posso aprender com quem eu julgo inferior?'
MO11,Megalomania,👑 Megalomania (você sente que é mais importante ou especial que os demais),"Você acredita ter um papel grandioso acima da medida, inflando sua própria importância.",Excesso de vaidade e desejo de dominação simbólica.,"Quer ser sempre a referência, o exemplo.",Busca admiração constante.,Não admite erros nem críticas.,"Desafio do silêncio: ouvir uma crítica sem rebater, apenas refletir."
MO10,Narcisismo Funcional,🌪️ Narcisismo Funcional (você se projeta como alguém idealizado para ser admirado),Você alimenta um ego funcional. Usa o sucesso como identidade.,Autovalorização baseada em desempenho externo.,"Valoriza-se pelo que faz, não por quem é.","Se destaca, mas com exigência de aplausos.",Busca reconhecimento como combustível principal.,Anotar 3 qualidades suas que não dependem de conquistas.
MO09,Arrogância,🧱 Arrogância (você impõe sua opinião como verdade absoluta),Você se sente superior. Sua fala carrega julgamento sutil.,Exibição de virtudes com desejo de superioridade.,Corrige os outros com arrogância disfarçada.,"Desejo de vencer debates, não aprender.",Postura hierárquica inflexível.,Ouvir com real interesse alguém que pensa diferente.
MO08,Presunção,🗣️ Presunção (você tende a se posicionar como superior ou mais certo que os outros),"Você se antecipa em se mostrar. Sabe o que tem, e quer que saibam também.",Busca de validação por aparência ou títulos.,Reforça suas conquistas nos diálogos.,Exibe resultados ou talentos com frequência.,Faz questão de marcar território nas vitórias.,Passar 1 dia sem mencionar realizações — focar no outro.
MO07,Exibicionismo Leve,✨ Exibicionismo Leve (você gosta de mostrar suas conquistas ou aparência com frequência),"Você sente a necessidade de mostrar valor, mas com leveza. Ainda há ego operando.",Afirmação pessoal com toque de vaidade sutil.,Busca elogios indiretos.,"Gosta de ser reconhecido, mas sem exageros.",Expressa conquistas de forma sutil.,Valorizar alguém publicamente sem falar de si mesmo.
MO06,Autoconfiança Expressiva,💬 Autoconfiança Expressiva (você se sente confortável em se destacar quando necessário),"Você expressa autoconfiança de forma transparente, sem precisar se afirmar.",Segurança interior com expressão equilibrada.,É exemplo sem precisar se exaltar.,Presença firme e leve.,Conduz com equilíbrio e autoconhecimento.,Exercício do espelho: declarar suas forças internas em silêncio olhando nos próprios olhos.
MO05,Neutralidade Autoavaliativa,"😐 Neutralidade Autoavaliativa (você não se preocupa muito com imagem — nem cultiva, nem resiste)",Você reconhece seus limites e forças com honestidade. Está em um ponto de análise clara.,"Autoavaliação realista, sem exageros ou negações.",Sabe o momento de falar e de calar.,Evita se vangloriar ou se rebaixar.,Equilibra opinião com escuta ativa.,Jornada da reflexão: escrever onde está em exagero e onde se apaga.
MO04,Autoconsciência Balanceada,"🧠 Autoconsciência Balanceada (você observa como se expressa, sem julgamento ou apego)",Você sabe quem é e não precisa provar. Sua força é silenciosa.,Autoconhecimento com consciência do próprio papel.,Orienta sem impor.,Compartilha experiências com leveza.,Contribui com equilíbrio e respeito.,Oferecer um conselho apenas quando for solicitado.
MO03,Discrição Elegante,🎩 Discrição Elegante (você preserva sua imagem sem chamar atenção nem se esconder),"Você se movimenta com elegância e discrição, com alma silenciosa.","Modéstia ativa, com sabedoria e refinamento.","Ensina pelo exemplo, não pelo discurso.","Presença leve, que transmite respeito.",Conduz situações com inteligência emocional.,Ato anônimo de ajuda a alguém da equipe ou grupo.
MO02,Modéstia Autêntica,🪞 Modéstia Autêntica (você reconhece seus dons e limitações com equilíbrio e naturalidade),"Sua modéstia é real. Você não apenas evita exaltar-se, como valoriza o outro com sinceridade.",Verdadeira humildade em expressão prática.,Celebra conquistas alheias com genuína alegria.,"Ouve mais do que fala, sem diminuir sua luz.",Promove o crescimento dos colegas.,Escrever 3 frases de reconhecimento sincero a pessoas próximas.
MO01,Humildade Sagrada,🕊️ Humildade Sagrada (você se reconhece com lucidez e se posiciona com simplicidade profunda),Você se esvazia do ego e se torna canal de algo maior. Sua humildade é luz sagrada.,Transcendência do eu inferior a serviço da verdade divina.,É inspiração pelo silêncio amoroso.,Presença curadora e compassiva.,Orienta com humildade e sabedoria profunda.,"Oração silenciosa de entrega e gratidão pela vida, sem pedidos — só presença."
PC12,Ira Autodestrutiva,💥 Ira Autodestrutiva (a raiva transborda e começa a te afetar mais do que aos outros),"Explosões internas te levam a agir contra si mesmo, com culpa e reatividade destrutiva.",Autopunição e raiva voltada para dentro.,Críticas duras a si mesmo diante da família.,Afastamento por medo de falhar com os outros.,Autossabotagem e bloqueios em momentos de desafio.,Escrita de compaixão: listar falhas e responder com empatia como se fosse para um amigo.
PC11,Impaciência Agressiva,"😠 Impaciência Agressiva (respostas ríspidas, tensão e urgência na fala e no corpo)",Sua impaciência se manifesta de forma agressiva e controladora.,Busca de controle sobre o tempo e os outros.,Irritação constante com atrasos ou falhas alheias.,Pressa em obter respostas e resultados.,"Microgestão, dificuldade em delegar.",Colocar lembretes visuais com frases de aceitação do processo.
PC10,Intolerância,❗ Intolerância (baixa margem de aceitação ao que escapa do seu controle),Você tem dificuldade em aceitar diferenças ou limitações do outro.,Julgamento e resistência ao ritmo alheio.,Crítica recorrente ao comportamento de parentes.,Baixa tolerância com opiniões contrárias.,Intolerância com erros da equipe.,Técnica de ressignificação: reformular mentalmente cada crítica em pergunta compassiva.
PC09,Irritação Ativa,😤 Irritação Ativa (reações visíveis e incômodo com atrasos ou falhas alheias),"Você tenta conter sua irritação, mas ela vaza em olhares e posturas.",Pressão emocional prestes a emergir.,Respostas ríspidas ou curtas.,Impaciência em filas ou esperas.,Inquietação em reuniões ou projetos lentos.,Respiração quadrada 4-4-4-4 antes de ambientes tensos.
PC08,Impaciência Contida,"😣 Impaciência Contida (o incômodo é constante, mas ainda controlado)","Você controla sua impaciência, mas ainda sente desconforto interno.",Gestão parcial da reatividade.,Esforço consciente para manter a calma.,"Evita embates, mas guarda mágoas.","Foco no resultado, mas com tensão interna.",Escrever o que gostaria de dizer e deixar em silêncio por 24h antes de decidir agir.
PC07,Tolerância Cansada,"😓 Tolerância Cansada (suporta, mas já com desgaste e pouca alegria no processo)","Você suporta o outro, mas sem prazer — há cansaço emocional acumulado.","Tolerância por esforço, não por amor.","Cumpre obrigações, mas com peso no coração.","Presente, mas desconectado.","Entrega o necessário, sem energia renovadora.",Cuidar de si antes de doar aos outros. 1h de pausa restaurativa por dia.
PC06,Neutralidade,"😐 Neutralidade (nem resiste, nem acolhe — apenas aguarda sem envolvimento emocional)","Você está em pausa: não há grande irritação, nem grande paciência.",Zona neutra emocional e funcional.,"Convívio pacífico, porém superficial.",Interações sem emoção profunda.,Produtividade regular e estável.,Fazer uma lista de pequenas alegrias diárias por 7 dias.
PC05,Resiliência Calma,🌾 Resiliência Calma (recompõe-se internamente após frustrações ou esperas),"Você começa a se adaptar com calma às situações, mesmo às adversas.",Resiliência emocional em desenvolvimento.,Paciência com o tempo de amadurecimento dos outros.,Capacidade de escutar sem pressa.,Persistência diante de desafios.,"Mantra pessoal de resistência suave: ex. “Eu sou firme, mas flexível.”"
PC04,Tolerância Ativa,"🌬️ Tolerância Ativa (acolhe o outro com compreensão, mesmo diante da dificuldade)",Você pratica a tolerância com leveza e presença.,Aceitação real do tempo das coisas.,Respostas brandas a provocações.,Serenidade ao lidar com falhas alheias.,Espírito colaborativo e compreensivo.,Oração de entrega da expectativa + respiração consciente.
PC03,Perseverança Sagrada,"💪 Perseverança (persiste com leveza e confiança, mesmo diante de obstáculos)",Você se mantém firme mesmo diante da dor ou lentidão. Sua paciência é sagrada.,Paciência como virtude espiritual em prática.,Inspira pelo exemplo e silêncio ativo.,Apoia com firmeza quem está em crise.,Referência de equilíbrio emocional.,Leitura meditativa de textos sagrados + prática da quietude ativa.
PC02,Paciência sagrada,"🕊️ Paciência Sagada (espera com serenidade, mesmo sem garantias de quando virá o fruto","Você espera com serenidade, mesmo sem garantias de quando virá o fruto. Sua paciência honra o tempo divino",Paciência moldada pela fé e sustentada por confiança superior.,Amor resiliente em tempos difíceis.,Presença iluminadora nas adversidades.,Postura de guia e pacificador natural.,"Ato silencioso de serviço a alguém que precisa, sem ser notado."
PC01,Paciência Mártir,"🕊️ Paciência Mártir (suporta com fé o que seria insuportável, transcendendo o ego)",Você abraça os ciclos com humildade. Sua paciência se tornou instrumento divino.,Consagração da paciência como estado de alma.,Amor resiliente em tempos difíceis.,Presença iluminadora nas adversidades.,Postura de guia e pacificador natural.,"Ato silencioso de serviço a alguém que precisa, sem ser notado."
PA12,Guerra Declarada,"🚨 Guerra Declarada (há hostilidade ativa, desejo de confronto ou divisão interna)","Você está em estado de oposição ativa, confronto direto e declaratório com o mundo ao seu redor.",Colapso da harmonia interna e externa.,"Brigas intensas, gritos e rompimentos.",Hostilidade ou rupturas públicas.,Conflitos diretos com líderes ou colegas.,Retirada estratégica para silêncio e autorreflexão antes de reagir.
PA11,Conflito Armado,"⚔️ Conflito Armado (você está em disputas abertas, emocionais ou verbais)","Existe conflito intenso, mas sem declarações. Um embate silencioso e prolongado se instala.",Desgaste emocional por tensões não resolvidas.,"Ambiente pesado, olhares hostis, silêncio destrutivo.",Discussões frequentes e polarização.,Competição tóxica e desentendimentos recorrentes.,Escrever cartas de desabafo (sem envio) para liberar tensão interna.
PA10,Violência Pontual,"🔥 Violência Pontual (você reage de forma intensa e explosiva, ainda que pontualmente)","Momentos de violência verbal ou física pontual surgem, revelando descontrole emocional.",Explosões emocionais momentâneas.,Discussões acaloradas e reações violentas.,Confrontos súbitos em debates ou redes sociais.,Desentendimentos abruptos com clientes ou pares.,Exercício de respiração com pausa (4-7-8) para autocontrole.
PA09,Crise,🌫️ Crise (você sente que algo dentro de si está prestes a se romper),"Crises interiores e externas se entrelaçam, gerando sensação de caos emocional.",Instabilidade geral e necessidade de reorganização interior.,Sensação de colapso em decisões ou convivência.,Isolamento ou reação a pressões externas.,Improdutividade por excesso de preocupação.,Análise escrita das fontes do caos + oração ou meditação guiada.
PA08,Conflito Latente,🧨 Conflito Latente (há incômodos escondidos que ameaçam vir à tona),"Há tensão interna que ainda não explodiu, mas é sentida em cada gesto.",Conflito incubado aguardando espaço para se manifestar.,Ambiente com cobranças veladas e ressentimento.,Comentários passivo-agressivos frequentes.,Ambiente silenciosamente competitivo ou crítico.,Movimento corporal fluido (dança livre ou caminhada reflexiva).
PA07,Discórdia,"🌪️ Discórdia (ruídos e desajustes recorrentes, externos ou internos)","Você sente discórdia interna e externa, manifestando insatisfação frequente.",Desalinhamento entre desejos e realidade.,Dificuldade de acordo em decisões básicas.,Debates constantes e falta de consenso.,Questionamentos recorrentes a lideranças.,Leitura de provérbios ou textos sagrados sobre reconciliação.
PA06,Tensão,"⚡ Tensão (há pressão interna constante, mesmo sem conflitos evidentes)",Seu campo está tensionado. Você sente os músculos e a mente em estado de alerta constante.,Ansiedade silenciosa e acúmulo de estresse.,Hipervigilância e defensividade nos diálogos.,Sensação de ser julgado ou mal interpretado.,Trabalho sob pressão constante e autocobrança.,Relaxamento muscular progressivo com respiração profunda.
PA05,Neutralidade,"😐 Neutralidade (há estabilidade emocional, mas sem profundidade de paz)","Você se encontra em um ponto neutro: sem guerra, sem paz. Apenas estabilidade momentânea.","Estado de pausa, mas sem restauração emocional.","Convívio funcional, mas sem afeto ou harmonia.",Participação passiva em grupos e encontros.,"Foco mecânico nas obrigações, sem brilho.",Caminhada consciente com observação da natureza ao redor.
PA04,Diplomacia,🗨️ Diplomacia (você se esforça ativamente para manter a harmonia nos ambientes),"Você começa a atuar com diplomacia, buscando pontes em vez de muros.",Postura de conciliação consciente.,Mediação de conflitos com sabedoria.,Busca por equilíbrio nas conversas e relacionamentos.,Flexibilidade em negociações e reuniões.,"Prática do silêncio em momentos de tensão, ouvindo antes de reagir."
PA03,Concórdia,"🤝 Concórdia (você vive em harmonia com os outros, respeitando diferenças)",Você colabora com o outro de forma equilibrada. Há fluidez nos encontros e decisões.,Harmonia relacional e clareza de intenções.,Decisões conjuntas e apoio mútuo.,Espírito de cooperação e partilha.,Trabalho em equipe com sintonia.,Exercício de escuta ativa com foco na empatia.
PA02,Tranquilidade,"🌊 Tranquilidade (há leveza emocional, estabilidade e harmonia constante)",Você sente tranquilidade mesmo em meio às pressões externas. Sua paz é cultivada.,Estabilidade emocional fundamentada.,Ambiente sereno e respeitoso.,Postura gentil e pacificadora.,Gestão equilibrada e liderança tranquila.,Banho de imersão com velas e música suave para integração emocional.
PA01,Paz Absoluta,"🪷 Paz Absoluta (você sente união interior, silêncio vivo e comunhão com o Todo)",Sua paz transcende o externo. Você a carrega como luz interna e irradiadora.,Estado de paz interior absoluta.,Presença que harmoniza naturalmente.,Ponto de equilíbrio e sabedoria em grupos.,Liderança inspiradora e pacificadora.,Meditação contemplativa profunda + entrega compassiva de algo valioso.
