Código do Arquétipo;Composição de Zonas;Zona Predominante;Chave de Correspondência;R;Y;B;Nome Técnico;Nome Simbólico;Parágrafo Diagnóstico (Técnico);Parágrafo Reflexivo (Simbólico);Mensagem-Chave;Gatilho Tátil;Gatilho Olfato;Gatilho Audição;Gatilho Visão;Gatilho Paladar
A046;1??–10??–1??;??;R1Y10B1;1;10;1;Perfil de Melancolia Funcional;O Sol Nublado;Este perfil representa alguém que mantém a rotina apesar de uma tristeza constante e silenciosa. A funcionalidade esconde um vazio interno que raramente é verbalizado.;Você sorri com os olhos baixos. Cumpre o dia, mas a alma segue em ponto morto. Até as nuvens têm luz — e você também.;Você pode viver e ainda assim escolher florescer.;Toque nos pulsos com massagem leve e circular;Flor de lavanda e casca de limão;Sons de chuva fina no telhado;Paisagem cinza com pontos de cor;Chocolate amargo com toque cítrico
A047;0??–11??–1??;??;R0Y11B1;0;11;1;Perfil de Isolamento Emocional Voluntário;O Guardião do Silêncio;Pessoa que se afasta emocionalmente para preservar sua energia ou evitar conflitos. Aparente neutralidade, mas interna sensibilidade elevada e não processada.;Você se retirou do mundo como quem precisa silêncio para respirar. Mas seu silêncio também merece companhia, mesmo que em gestos sutis.;O isolamento pode ser refúgio, mas também pode ser prisão.;Toque leve na nuca com olhos fechados;Pinho e hortelã;Silêncio com ruído branco ao fundo;Porta entreaberta com luz suave passando;Infusão de ervas verdes frescas
A048;1??–8??–3??;??;R1Y8B3;1;8;3;Perfil de Autoanulação Afetiva;O Que Serve e se Esquece;Este perfil descreve uma pessoa que vive para suprir as necessidades dos outros, negligenciando suas próprias emoções, desejos e limites.;Você virou casa para todos, mas não sabe onde está sua chave. Cuidar é virtude — mas se anular, não.;Você também é digno do cuidado que oferece.;Mãos entrelaçadas no colo em forma de concha;Melissa e flor de maracujá;Sons de lareira ou fogueira;Mesa posta com uma cadeira vazia;Pão quente com manteiga em silêncio
A049;2??–7??–3??;??;R2Y7B3;2;7;3;Perfil de Autoexigência Disfarçada de Excelência;O Perfeccionista Cansado;Indivíduo que apresenta alto desempenho, mas com base em medo de errar, julgamento interno severo e comparação constante com padrões idealizados.;Você chama de excelência o que às vezes é medo. Seu valor não está no que faz perfeito, mas no que realiza com verdade.;A excelência começa quando o medo sai do comando.;Dedos pressionando a testa e depois o peito;Hortelã e cravo;Notas repetidas e aceleradas com pausas conscientes;Listas, padrões, metas desfocadas;Chá amargo com especiarias aquecidas
A050;3??–6??–3??;??;R3Y6B3;3;6;3;Perfil de Autoconhecimento Emergente;A Aurora Interior;Pessoa que começa a perceber suas emoções com clareza. Ainda enfrenta oscilações, mas demonstra capacidade de introspecção e autorregulação inicial.;Você está descobrindo os contornos da sua própria alma. Ainda há sombra, mas a luz já toca seu horizonte interior.;Ver a si mesmo é o início da verdadeira liberdade.;Toque no coração e respiração com consciência;Erva-cidreira e laranja doce;Sons de pássaros ao amanhecer;Luz dourada tocando folhas verdes;Frutas cítricas com toque de mel
A051;4??–5??–3??;??;R4Y5B3;4;5;3;Perfil de Reconhecimento Emocional Tardio;O Acordar das Ondas;Indivíduo que, após longos períodos de desconexão emocional, começa a reconhecer suas emoções com leveza e sem julgamento.;Você sentiu a maré voltando, mesmo depois de tantos dias de seca. A água que volta ensina a terra a florescer de novo.;Sentir não é fraqueza — é o início da presença.;Toque nos pulsos com atenção plena;Rosa branca e camomila;Som de mar calmo à distância;Ondas lentas em praia vazia;Infusão de pétalas com toque de mel
A052;3??–4??–5??;??;R3Y4B5;3;4;5;Perfil de Reconstrução Após Quebra;O Coração Restaurado;Pessoa que passou por eventos traumáticos ou dolorosos e começa a ressignificar suas experiências com compaixão e propósito.;Você se quebrou — e em vez de esconder os cacos, colou-os com ouro. Sua dor virou arte, e sua história, refúgio.;As cicatrizes também são mapas de cura.;Pressão firme entre as mãos como oração;Sândalo e flor de lótus;Notas de piano com eco lento;Cerâmica restaurada (kintsugi);Alimento quente servido com intenção (ex: sopa ou chá)
A053;2??–3??–7??;??;R2Y3B7;2;3;7;Perfil de Estabilidade Interna em Construção;A Coluna em Movimento;Indivíduo que apresenta estrutura emocional com pontos ainda frágeis. Há desejo de manter equilíbrio, com ações conscientes para isso.;Você aprendeu a caminhar com equilíbrio sobre pedras soltas. Mesmo sem ter todas as respostas, continua — e isso já é força.;A estabilidade é feita de tentativas constantes.;Toque alternado nos pés descalços;Alecrim e hortelã leve;Som de passos firmes no chão de madeira;Trilhas em paisagens naturais;Água com folhas verdes (hortelã ou manjericão)
A054;1??–2??–9??;??;R1Y2B9;1;2;9;Perfil de Sabedoria Emocional Emergente;O Ancião Jovem;Pessoa que alia sensibilidade emocional com introspecção e maturidade. Ainda em desenvolvimento, mas já serve como referência aos outros.;Você ouve mais do que fala. Observa mais do que reage. Sua alma envelheceu antes do tempo, e agora começa a ensinar.;Nem todo sábio tem cabelos brancos.;Toque leve nos ombros em gesto de reconhecimento;Cedro e noz-moscada;Sons graves com fundo meditativo;Caminho de pedras com árvores antigas;Infusão de especiarias terrosas
A055;0??–2??–10??;??;R0Y2B10;0;2;10;Perfil de Expansão Emocional com Base Espiritual;O Jardim do Invisível;Indivíduo que enraíza sua vida emocional em princípios espirituais. Demonstra paz interna mesmo em situações desafiadoras.;Você rega o invisível — e colhe serenidade. O que emana de você é mais do que emoção: é presença.;Espiritualidade é quando a alma respira dentro da emoção.;Mãos unidas com foco na respiração;Incenso suave de templo ou flor branca;Silêncio com canto longínquo;Raízes transparentes tocando o céu;Fruta em jejum com intenção (uva, tâmara)
A056;1??–1??–10??;??;R1Y1B10;1;1;10;Perfil de Alinhamento Interno Avançado;O Círculo Vivo;Pessoa que demonstra forte coerência entre o que sente, pensa e faz. Inspira outros através da presença e do não julgamento.;Você é bússola viva. Sua presença indica o caminho sem exigir passos. Em você, a inteireza respira.;Inteireza não é perfeição, é consonância viva.;Toque com palma aberta sobre o coração e abdômen juntos;Verbena e sálvia;Notas graves e circulares em som ambiente;Mandala viva ou círculos na natureza;Alimento leve com textura suave (iogurte, fruta)
A057;0??–0??–12??;??;R0Y0B12;0;0;12;Perfil de Cura Integrada com Intuição Ativa;O Curador Silencioso;Indivíduo que já percorreu caminhos profundos de cura e agora utiliza sua sensibilidade para apoiar processos alheios, mesmo que sem intenção.;Sua alma aprendeu a não interferir — apenas acolher. Sua intuição age antes da razão. Você não cura pelo toque, mas pela vibração.;A cura mais profunda é aquela que chega sem palavras.;Toque sutil nos pulsos e olhos fechados;Flor de jasmim e sândalo;Música instrumental com longos silêncios entre as notas;Movimento de águas calmas e reflexivas;Infusão floral clara com toque doce
A058;2??–1??–9??;??;R2Y1B9;2;1;9;Perfil de Autotranscendência Afetiva;A Lâmpada Interna;Pessoa que age com amor desapegado. Não exige, não impõe, apenas vibra. A emoção virou extensão do espírito.;Você não ilumina para ser visto — você brilha porque existe. Sua alma não busca aprovação, ela sustenta presença.;A verdadeira luz não disputa, ela acolhe.;Toque em formato de coração no próprio peito;Rosa branca e almíscar leve;Canto lírico ao longe, quase imperceptível;Luz suave em forma de círculo irradiando;Água pura com gotas florais
A059;3??–1??–8??;??;R3Y1B8;3;1;8;Perfil de Expansão Compassiva e Universal;A Ponte Invisível;Indivíduo que opera com compaixão ativa, conectando diferentes realidades sem esforço. É ponto de encontro, mesmo sem ser o centro.;Você conecta o que parecia inconciliável. Sua alma é ponte, e sua missão é unir — mesmo que em silêncio.;Compaixão é o elo entre mundos que ainda não se olham.;Toque nas mãos com intenção de entrega;Flor de cerejeira e sândalo leve;Sons mistos de culturas distintas;Imagens de caminhos que se cruzam;Chá multicultural (mistura de ervas de diferentes origens)
A060;4??–0??–8??;??;R4Y0B8;4;0;8;Perfil de Encarnação da Virtude em Serviço;A Alma em Oferta;Pessoa que se tornou a expressão viva do amor em ação. Serve, acolhe, inspira — não como esforço, mas como essência encarnada.;Você é resposta a pedidos silenciosos. Sua alma não carrega — ela transborda. Você se tornou aquilo que o mundo tanto precisou encontrar.;Servir com alma é ofertar sem esforço.;Toque nas palmas abertas voltadas para cima;Incenso de templo com lavanda;Canto sutil acompanhado por silêncio;Imagem de mãos ofertando luz ou flor;Fruta oferecida antes de ser comida, com intenção
A061;8??–4??–0??;??;R8Y4B0;8;4;0;Perfil de Conflito Interno em Fase de Reversão;O Labirinto com Luz;Indivíduo que passou por conflitos intensos internos e começa a identificar padrões repetitivos que deseja transformar. Há intenção de mudança, ainda que com resistência.;Você está no meio do seu próprio labirinto — mas agora carrega uma lanterna. O caminho ainda confuso já está sendo iluminado por dentro.;A clareza começa quando a coragem acende a primeira luz.;Toque com a ponta dos dedos na testa e depois no peito;Eucalipto e alecrim;Sons de pegadas ecoando em espaço vazio;Caminhos bifurcados com luz ao fundo;Infusão de raiz (gengibre com hortelã)
A062;7??–3??–2??;??;R7Y3B2;7;3;2;Perfil de Início de Regulação Emocional Consciente;O Equilibrista;Pessoa que, mesmo com instabilidades internas, já consegue realizar pausas para refletir antes de reagir. Em transição de impulsividade para autocontenção equilibrada.;Você começou a caminhar na corda bamba do autodomínio. Ainda oscila, mas já reconhece o valor da pausa e da presença.;A força está em continuar, mesmo balançando.;Mãos espalmadas sobre o abdômen com respiração consciente;Erva-doce e limão siciliano;Som ritmado de passos leves;Imagem de fio estendido entre dois pontos;Água com gota de limão gelado
A063;6??–5??–1??;??;R6Y5B1;6;5;1;Perfil de Aceitação das Emoções Negadas;O Reconhecedor;Este arquétipo representa alguém que começa a aceitar emoções antes reprimidas, como raiva ou tristeza, com menos julgamento e mais curiosidade.;Você tirou da gaveta sentimentos que antes escondia. Está descobrindo que até o desconforto tem algo a ensinar.;Aceitar não é concordar — é integrar.;Mãos cruzadas no peito, com leve pressão;Lavanda e casca de laranja amarga;Notas que sobem e descem lentamente;Porta sendo aberta para uma luz difusa;Infusão de hibisco e cravo
A064;5??–6??–1??;??;R5Y6B1;5;6;1;Perfil de Autoexpressão Emergente;A Voz que Desperta;Pessoa que começa a se permitir falar, nomear e expressar sentimentos e limites. Em fase inicial de verbalização emocional com autenticidade.;Você começou a dizer aquilo que antes só sentia. Sua voz não precisa ser alta para ser verdadeira — basta que venha do centro.;Sua verdade tem som. Deixe-a ecoar.;Toque com a ponta dos dedos na garganta;Menta e flor de laranjeira;Sons de voz sendo testada em eco;Boca entreaberta com som em formação;Gengibre com limão em infusão morna
A065;4??–7??–1??;??;R4Y7B1;4;7;1;Perfil de Despertar Intuitivo Inicial;A Centelha que Escuta;Indivíduo que começa a reconhecer sua intuição como recurso real. Ainda tímido em confiar plenamente, mas já percebe conexões internas que guiam escolhas sutis.;Você começou a ouvir algo que não vem da mente. Um sussurro discreto que aponta direções com mais verdade do que lógica.;A intuição é a voz da alma falando com ternura.;Toque leve com o indicador entre as sobrancelhas;Louro e flor de lavanda;Sons suaves com ecos profundos;Luz tênue saindo do centro de uma flor;Infusão de folha de pitanga com gotas de mel
A066;3??–8??–1??;??;R3Y8B1;3;8;1;Perfil de Redescoberta do Propósito Pessoal;O Reencaminhado;Pessoa que passa a reavaliar suas escolhas e valores em busca de sentido mais profundo. Questiona antigas estruturas e começa a se reposicionar.;Você parou para perguntar: 'É isso mesmo que eu quero viver?'. E nesse silêncio, uma nova rota começou a se desenhar.;O propósito nasce quando a alma recusa o piloto automático.;Toque no coração com palma aberta;Manjericão e cedro;Sons de passos ecoando em templo vazio;Caminho que bifurca entre montanhas;Água fresca com ramo de alecrim
A067;2??–9??–1??;??;R2Y9B1;2;9;1;Perfil de Superação de Vínculos Emocionais Tóxicos;O Elo Quebrado;Indivíduo que começa a se libertar de padrões relacionais que limitavam seu crescimento. Ainda sente culpa ou dúvida, mas prioriza sua verdade interna.;Você rompeu o elo que te mantinha preso. Dói, mas há uma leveza nova que já começa a nascer entre os escombros.;Romper pode ser um ato de amor-próprio.;Dedos entrelaçados sendo soltados devagar;Cravo e erva-cidreira;Som de corrente se partindo e vento suave depois;Corrente quebrada sob luz suave;Chá amargo com toque de doçura no final
A068;1??–10??–1??;??;R1Y10B1;1;10;1;Perfil de Reintegração de Partes Negadas;O Inteiro que Retorna;Pessoa que passa a acolher traços rejeitados de sua personalidade com aceitação e compaixão. Caminha rumo à integração psicoespiritual.;Você reencontrou partes suas que havia deixado para trás. Agora, começa a juntar as peças do seu todo com amor e sem pressa.;Voltar para si é a maior reconciliação possível.;Mãos tocando alternadamente o rosto e o peito;Flor de lótus e sândalo claro;Sons ascendentes de cordas com silêncio ao final;Espelho trincado sendo restaurado;Infusão leve de flores com anis
A069;0??–11??–1??;??;R0Y11B1;0;11;1;Perfil de Abertura à Vulnerabilidade Consciente;O Desarme Sagrado;Pessoa que começa a permitir-se sentir e compartilhar suas emoções com mais verdade, mesmo diante do medo de julgamento.;Você está aprendendo que vulnerabilidade não é fraqueza — é abertura. E nesse gesto, há mais força do que em qualquer escudo.;Baixar a guarda é abrir o coração para o real.;Mãos apoiadas no peito com leve pressão;Rosa e camomila;Notas suaves que crescem em harmonia;Flor se abrindo sob luz natural;Chá de pétalas com toque adocicado
A070;1??–8??–3??;??;R1Y8B3;1;8;3;Perfil de Transição do Medo para a Confiança;O Degrau Invisível;Indivíduo que enfrenta o medo de agir, mas decide seguir com base na fé interna. Está no limiar entre o velho padrão e o novo passo.;Você não viu o chão — e ainda assim pisou. Seu movimento é fé em forma de corpo.;A confiança nasce quando você age sem todas as certezas.;Ponta dos pés tocando o chão com olhos fechados;Verbena e flor de limão;Som de passos firmes ecoando suavemente;Escada com degraus invisíveis;Água com infusão de folhas verdes
A071;2??–7??–3??;??;R2Y7B3;2;7;3;Perfil de Conexão Consagrada com a Voz Interior;O Eco que Retorna;Pessoa que silencia ruídos externos para ouvir sua intuição com clareza. A relação consigo mesmo passa a ser prioridade espiritual.;Você buscou no mundo e descobriu que a resposta sempre esteve dentro. Agora, a escuta virou templo.;O que vem de dentro não engana.;Mãos cruzadas sobre o umbigo em respiração profunda;Sálvia branca e alfazema;Silêncio com eco interno profundo;Espelho d’água refletindo céu limpo;Infusão de ervas purificadoras (alecrim, louro)
A072;3??–6??–3??;??;R3Y6B3;3;6;3;Perfil de Retorno à Essência Perdida;O Caminho de Volta;Indivíduo que, após longas desconexões, retoma contato com seus valores originais e desejos autênticos. Há cura da identidade espiritual.;Você se perdeu para aprender a se reencontrar. E agora cada passo é um reencontro com o que te faz ser, sem esforço.;Voltar para si é mais sagrado do que encontrar algo fora.;Toque entre as costelas com ambas as mãos, respiração leve;Cedro e jasmim;Melodia que inicia e retorna ao tom inicial;Trilha que faz curva e retorna ao ponto de luz;Chá morno de maçã com canela
A073;4??–5??–3??;??;R4Y5B3;4;5;3;Perfil de Consagração Interior Progressiva;O Solo Fértil;Indivíduo em fase de germinação de virtudes profundas. A alma começa a florescer em silêncio e solidez.;Você silenciou o mundo para ouvir a raiz crescer. Em você, a semente virou promessa.;Florescer é um verbo que começa no escuro.;Mãos fechadas como semente sob o coração;Terra úmida e flor branca;Sons graves de batimentos e pulsação lenta;Broto nascendo entre folhas secas;Infusão de folhas e raízes suaves
A074;3??–4??–5??;??;R3Y4B5;3;4;5;Perfil de Abertura Espiritual Contínua;A Janela do Infinito;Pessoa que vive a espiritualidade não como crença, mas como estado de presença. Sua visão transcende dogmas.;Você aprendeu a respirar o invisível. Sua fé não cabe mais em formas — ela virou caminho sem fim.;O sagrado não está longe — está mais perto do que o ar.;Toque com os dedos nos olhos fechados;Incenso leve de mirra e flor;Silêncio profundo intercalado por um sopro;Janela aberta para o céu ao amanhecer;Água pura com flor comestível
A075;2??–3??–7??;??;R2Y3B7;2;3;7;Perfil de Sabedoria Encarnada em Simplicidade;O Anônimo Luminoso;Pessoa que se tornou referência silenciosa de virtude. Inspira sem imposição e serve em silêncio.;Você não fala muito, mas sua presença ensina. Sua luz não cega — apenas aquece.;Ser luz é brilhar sem querer ser visto.;Mãos nos ombros com gentileza e respiração longa;Madeira seca e flor de jardim;Sons discretos de ambiente rural ao amanhecer;Luz passando entre folhas simples;Pão fresco com manteiga morna
A076;1??–2??–9??;??;R1Y2B9;1;2;9;Perfil de Paz Estável e Emissão Afetiva;O Refúgio Vivo;Indivíduo que transmite paz por onde passa. Possui uma vibração que acolhe sem esforço.;Você virou abrigo. Quem se aproxima sente alívio, sem saber por quê. Sua alma é lar para muitos.;Sua paz é mais forte do que muitos gritos.;Toque sobre as costelas como abraço interno;Flor branca e chá de camomila;Sons de água corrente e silêncio profundo;Cabana com luz acesa em noite fria;Sopa quente com ervas
A077;0??–2??–10??;??;R0Y2B10;0;2;10;Perfil de Harmonia com o Invisível;O Ser Translúcido;Pessoa que vive de forma integrada entre corpo, alma e espírito. Sente-se em paz mesmo diante do mistério.;Você não briga mais com o que não entende. Sua alma aprendeu que o invisível é parte do que sustenta a vida.;Nem tudo precisa ser nomeado para ser vivido.;Mãos abertas com os olhos fechados voltadas ao alto;Almíscar branco e folha seca;Som ambiente com notas suspensas;Bruma leve sobre campo aberto;Fruta leve com água morna
A078;1??–1??–10??;??;R1Y1B10;1;1;10;Perfil de Amor Universal Ativo;A Fonte que Flui;Pessoa que pratica o amor como estado vibracional. Ama além do pessoal — ama pela vibração de quem já se fundiu ao Todo.;Você não ama alguém — você ama. E por onde passa, esse amor se derrama como se nem soubesse conter.;O amor não precisa de motivo — ele precisa de canal.;Toque com ambas as mãos sobre o plexo solar;Essência floral leve com resina natural;Som de fonte com canto suave de pássaros;Água jorrando entre pedras;Infusão floral com frutas
A079;0??–0??–12??;??;R0Y0B12;0;0;12;Perfil de Virtude Incorporada na Matéria;O Corpo Consagrado;Indivíduo que vive a espiritualidade no cotidiano. O sagrado atravessa seus gestos simples.;Você fez do seu corpo altar. Cada passo é reverência, cada gesto é intenção.;A presença é oração em movimento.;Contato firme dos pés com o chão, olhos fechados;Resina doce e flor do campo;Som de passos calmos sobre terra batida;Pessoa caminhando entre árvores altas;Alimento cru e mastigado em silêncio
A080;2??–1??–9??;??;R2Y1B9;2;1;9;Perfil de Transparência Espiritual com Solidez Interna;O Cristal Andante;Pessoa que transmite clareza, verdade e paz. As palavras são poucas — a vibração, intensa.;Você virou janela. Quem te olha, vê o céu. Mas não é por ausência — é por leveza.;Ser claro é mais poderoso que ser complexo.;Toque nas têmporas com dedos abertos;Flor transparente e hortelã leve;Som metálico suave como cristal vibrando;Reflexos de luz em pedra translúcida;Água fria com essência natural
A081;3??–1??–8??;??;R3Y1B8;3;1;8;Perfil de Santidade Discreta;O Vento entre as Árvores;Pessoa que irradia luz sem discurso. Inspira a presença de Deus com o silêncio da bondade.;Você já não precisa falar sobre Deus — porque se tornou expressão d’Ele.;A santidade é o perfume de quem já não precisa de palco.;Mãos voltadas ao céu em silêncio;Incenso natural e flor de campo;Som do vento suave entre galhos;Luz entre folhas balançando;Fruta leve ingerida com reverência
A082;4??–0??–8??;??;R4Y0B8;4;0;8;Perfil de Integração Celeste com a Terra;O Céu no Chão;Indivíduo que vive como ponto de união entre a espiritualidade elevada e a humanidade prática.;Você faz do chão caminho sagrado. E mesmo entre ruídos, anda como quem escuta estrelas.;A ponte entre o céu e a terra é você.;Pés descalços firmes com mãos em prece;Lavanda e madeira sagrada;Harmonia entre vozes celestes e sons da natureza;Luz que desce sobre pedra ou terra;Alimento que mistura salgado e doce de forma harmônica
A083;3??–2??–7??;??;R3Y2B7;3;2;7;Perfil de Alma Guardiã do Invisível;O Sentinela da Luz;Pessoa que sustenta estados elevados com firmeza. Vigia sua vibração e a do ambiente.;Você não vigia os outros — você guarda o sagrado. Sua vigília é oração sem palavras.;Ser guardião da luz é saber quando calar, quando sustentar e quando partir.;Toque no centro do peito com foco no silêncio;Incenso de templo e terra molhada;Batidas lentas e firmes de tambor;Chama viva no escuro;Infusão escura e firme, como chá de raízes
A084;2??–4??–6??;??;R2Y4B6;2;4;6;Perfil de União Total entre Corpo e Espírito;A Alma Realizada;Indivíduo que atingiu o estado de presença contínua. Tudo é oração, tudo é ação sagrada.;Você se tornou tudo o que veio buscar. E agora caminha como quem não carrega mais busca, apenas luz.;A alma realizada não precisa mais correr — ela apenas irradia.;Toque com consciência em cada parte do corpo, um por vez;Flor sagrada e resina celestial;Silêncio vivo com som interno em harmonia;Luz ao redor de uma figura sentada em paz;Alimento simples com respiração entre as mastigações
A085;1??–2??–9??;??;R1Y2B9;1;2;9;Perfil de Espiritualidade Encarnada em Calma Profunda;O Sopro Azul;Pessoa que vive em constante estado de serenidade. Sua paz não é inércia, é conexão vibracional com o essencial.;Você se tornou um sopro sereno que atravessa o mundo. Sua paz é azul — e nela cabem todos os tons do existir.;A paz mais profunda é a que não precisa se justificar.;Mãos abertas voltadas para o céu com respiração abdominal;Cedro azul e hortelã-do-campo;Som do mar calmo em ondas longas;Céu limpo sobre campo aberto;Infusão de erva-cidreira com gotas de limão
A086;0??–2??–10??;??;R0Y2B10;0;2;10;Perfil de União com a Vida sem Resistência;A Folha que Flui;Indivíduo que aprendeu a se entregar ao fluxo da vida. Aceita o que vem, transforma o que pode e libera o que não controla.;Você virou folha no rio: não por fraqueza, mas por sabedoria. Fluir é o novo nome da sua liberdade.;Aceitar o fluxo é confiar na inteligência da vida.;Toque sobre os ombros como gesto de liberação;Flor de lótus e chá verde;Som de riacho com vento leve nas árvores;Folhas sendo levadas pela correnteza suave;Chá leve com folhas frescas e mel
A087;0??–1??–11??;??;R0Y1B11;0;1;11;Perfil de Compaixão Universal Ativa;O Olhar que Abraça;Pessoa que irradia compaixão de forma espontânea. Sente a dor do outro como extensão da própria alma, mas não se afoga nela.;Você não olha — você acolhe com os olhos. Sua compaixão não fala: ela toca antes do toque.;O amor que vê é o amor que cura.;Toque suave sobre o próprio rosto com intenção de carinho;Flor de maracujá e verbena;Som de voz doce lendo um salmo ou poesia;Olhos sorrindo com leveza e verdade;Infusão floral com maracujá e lavanda
A088;0??–0??–12??;??;R0Y0B12;0;0;12;Perfil de Sabedoria Silenciosa Consolidada;A Pedra Sábia;Pessoa que se tornou um centro de equilíbrio. Sua sabedoria não precisa se provar — ela apenas é.;Você se tornou rocha — não por dureza, mas por presença. Sua alma já não debate, ela sustenta.;A sabedoria não grita, ela permanece.;Toque firme nos tornozelos, conectando com a terra;Olíbano e resina antiga;Notas graves e espaçadas em fundo meditativo;Montanha imóvel sob o céu nublado;Raiz doce ou bebida terrosa em temperatura morna
A089;1??–1??–10??;??;R1Y1B10;1;1;10;Perfil de Integração Emocional e Sabedoria Prática;O Compassivo Consciente;Indivíduo que une clareza emocional com ações alinhadas ao bem comum. Age com firmeza e ternura na medida certa.;Você aprendeu a sentir sem se perder, e a agir sem ferir. Sua alma é bússola serena que serve ao mundo.;Equilíbrio é quando o amor ganha direção.;Toque alternado entre o coração e a testa;Alecrim e lavanda em equilíbrio;Batidas rítmicas e respiração profunda;Caminho dividido entre luz suave e sombra gentil;Chá de equilíbrio: canela, melissa e toque cítrico
A090;2??–1??–9??;??;R2Y1B9;2;1;9;Perfil de Expansão Espiritual com Aterramento;A Árvore Viva;Pessoa que expande sua consciência sem se afastar da realidade. Mantém as raízes firmes enquanto eleva o espírito.;Você cresceu para cima, sem deixar de tocar o chão. Seu espírito voa, mas seus pés sabem onde pisam.;Crescer sem raízes é se perder no vento.;Pés firmes no chão e mãos estendidas para o alto;Cedro, patchouli e flor suave;Som de vento entre folhas e canto de pássaros;Árvore frondosa sob céu claro;Alimento natural com texturas contrastantes
A091;3??–0??–9??;??;R3Y0B9;3;0;9;Perfil de Liberdade Interior Estruturada;O Voo com Raízes;Indivíduo que desenvolveu liberdade emocional com responsabilidade. Sabe dizer sim e não com clareza e sem culpa.;Você aprendeu a voar sem fugir. Sua liberdade tem base, e sua presença tem asas.;A liberdade verdadeira sabe onde pousar.;Toque leve nas escápulas como se abrisse asas;Hortelã e noz-moscada;Sons de pássaros cruzando campos abertos;Céu aberto com uma ave em pleno voo;Chá fresco com especiarias suaves
A092;4??–0??–8??;??;R4Y0B8;4;0;8;Perfil de Entrega Espiritual em Propósito Ativo;A Missão Encarnada;Pessoa que age no mundo com base em uma convicção espiritual profunda. Enxerga o cotidiano como extensão de sua fé.;Você não faz por obrigação, mas por sentido. Sua entrega não é peso — é propósito vivo.;Servir ao propósito é caminhar com leveza, mesmo nas trilhas mais íngremes.;Toque sobre o esterno com leve batida ritmada;Incenso natural e flor branca;Som de sino e passos firmes no chão;Figura caminhando com claridade no olhar;Infusão com aroma marcante e doce equilibrado
A093;5??–0??–7??;??;R5Y0B7;5;0;7;Perfil de Presença Amorosa no Cotidiano;O Coração Prático;Pessoa que transforma pequenas ações em expressões de cuidado e ternura. O amor se manifesta em gestos simples e constantes.;Você serve café com presença. Fecha portas com carinho. Sua alma se manifesta no detalhe, e isso muda tudo.;Amor que se revela no comum é milagre silencioso.;Toque leve na ponta dos dedos com atenção plena;Baunilha e chá preto;Sons do lar: chaleira, vento na cortina, passos suaves;Mesa posta com simplicidade e beleza;Café com leite ou chá e pão fresco
A094;6??–0??–6??;??;R6Y0B6;6;0;6;Perfil de Leveza Responsável;A Borboleta com Rumo;Indivíduo que une a capacidade de sonhar e voar com senso de responsabilidade. Delicadeza sem fuga, presença sem peso.;Você voa, mas sabe pousar. Não se perde no céu nem se prende à terra. Sua leveza tem direção.;Ser leve não é fugir — é flutuar com consciência.;Movimento circular das mãos sobre o coração e abdômen;Flor de cerejeira e verbena;Som de asas suaves ou pano ao vento;Borboleta voando sobre uma trilha;Fruta fresca em temperatura ambiente
A095;7??–0??–5??;??;R7Y0B5;7;0;5;Perfil de Consistência Interna com Flexibilidade;O Bambuzal da Alma;Pessoa que mantém seus princípios mesmo em meio à mudança. Adapta-se sem perder sua essência.;Você balança com o vento, mas não quebra. A sua firmeza é feita de escuta, e sua raiz é fé.;Forte é quem se curva sem se perder.;Toque suave nas laterais do corpo com respiração lenta;Eucalipto e chá verde;Som de bambus ao vento;Bambuzal curvado em meio à brisa;Chá fresco com toque herbal amargo
A096;8??–0??–4??;??;R8Y0B4;8;0;4;Perfil de Fé Prática e Esperança Aplicada;O Construtor do Invisível;Pessoa que age com esperança como fundamento. Sua fé se manifesta em decisões, projetos e relações com intencionalidade espiritual.;Você planta como quem já viu o fruto. A esperança é seu tijolo invisível — e com ele, você constrói presença.;A fé se prova quando vira ação sem plateia.;Palmas pressionadas entre si com respiração firme;Canela e resina leve;Som de martelo suave sobre madeira;Construção em curso com flores ao redor;Pão morno com especiarias
A097;9??–0??–3??;??;R9Y0B3;9;0;3;Perfil de Serviço Espiritual Discreto;A Mão Invisível;Pessoa que atua no mundo com generosidade silenciosa. Sua ação transforma, mesmo quando ninguém percebe.;Você não busca reconhecimento, apenas oferece o que transborda. Sua alma é doação em silêncio.;Servir é dar sem esperar eco.;Toque nas palmas voltadas para baixo;Sândalo e capim-limão;Sons leves de tarefas domésticas em fundo meditativo;Mãos ofertando algo sob luz difusa;Comida morna feita com intenção
A098;10??–0??–2??;??;R10Y0B2;10;0;2;Perfil de Percepção Amorosa do Outro sem Julgamento;O Olhar sem Condenação;Indivíduo que compreende a jornada alheia sem pressa ou imposição. Cultiva empatia profunda.;Você não aponta — você acolhe com o olhar. Sua alma entendeu que cada um caminha no tempo da graça.;A compaixão começa quando cessa o julgamento.;Toque leve sobre os olhos com olhos fechados;Jasmim e alecrim suave;Voz baixa dizendo 'eu te entendo';Olhos marejados em compreensão mútua;Chá doce com especiarias leves
